name,activation,solver,hidden_layer_sizes,alpha,learning_rate_init,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,mean_n_train_original,mean_n_train_augmented,std_macro_f1,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_weighted_f1
"tanh_adam__hls-(128,)__alpha-0.001__lr-0.001",tanh,adam,"(128,)",0.001,0.001,0.7680468441180075,0.7568424805416274,0.7006485813013447,0.7728438273792875,6742.222222222223,9685.333333333334,0.08445717664515724,0.7781147000659195,0.7780935725280574,0.7747116373239935,0.7754377404511696
"relu_adam__hls-(128,)__alpha-1e-05__lr-0.0005",relu,adam,"(128,)",1e-05,0.0005,0.7698692260818534,0.7602765930228991,0.699836833881185,0.7743784826536165,6742.222222222223,9685.333333333334,0.08631373623892359,0.7774555042847726,0.7867995605532531,0.7746334308802525,0.7739541557419344
"tanh_adam__hls-(128,64,32)__alpha-0.0001__lr-0.001",tanh,adam,"(128, 64, 32)",0.0001,0.001,0.7699217596405339,0.7593934835178592,0.7039013938543136,0.7737879472541168,6742.222222222223,9685.333333333334,0.09393277335896268,0.7802241265655899,0.7830320070022923,0.7739941838289465,0.7759124438033336
"tanh_adam__hls-(128,64,32)__alpha-1e-05__lr-0.001",tanh,adam,"(128, 64, 32)",1e-05,0.001,0.7695412421367287,0.7588790802256782,0.7035298726832938,0.7734466017145277,6742.222222222223,9685.333333333334,0.09373302181536709,0.7799604482531312,0.7827575832920837,0.7737576241615691,0.7756707014520405
"relu_adam__hls-(64,32)__alpha-0.0001__lr-0.001",relu,adam,"(64, 32)",0.0001,0.001,0.7698173635832612,0.7600493070196269,0.698205608387404,0.7733427246694002,6742.222222222223,9685.333333333334,0.083960126883587,0.7770599868160843,0.7789981550254403,0.7735899915936799,0.7741883458336044
"tanh_adam__hls-(128,64)__alpha-1e-05__lr-0.001",tanh,adam,"(128, 64)",1e-05,0.001,0.7706376568961802,0.7547164145229277,0.7024217635700095,0.7747647941096976,6742.222222222223,9685.333333333334,0.08789796948101591,0.777587343441002,0.7778778024139655,0.7734582451613488,0.7744946794670653
"tanh_adam__hls-(128,64)__alpha-0.0001__lr-0.001",tanh,adam,"(128, 64)",0.0001,0.001,0.7706376568961802,0.7547164145229277,0.7024217635700095,0.7747647941096976,6742.222222222223,9685.333333333334,0.08789796948101591,0.777587343441002,0.7778778024139655,0.7734582451613488,0.7744946794670653
"relu_adam__hls-(64,32)__alpha-0.001__lr-0.001",relu,adam,"(64, 32)",0.001,0.001,0.7701075388415837,0.7702973604689317,0.7022623495221101,0.7731328489844352,6742.222222222223,9685.333333333334,0.08265299990334922,0.7766644693473962,0.7796757056644881,0.7734049154662879,0.773690964362018
"tanh_adam__hls-(128,64)__alpha-1e-05__lr-0.0005",tanh,adam,"(128, 64)",1e-05,0.0005,0.7684382563000269,0.745508622326333,0.6935891887614223,0.772802646221716,6742.222222222223,9685.333333333334,0.0884191658808886,0.777587343441002,0.7778488330039589,0.7733354036128819,0.7744753556211688
"tanh_adam__hls-(128,64)__alpha-0.0001__lr-0.0005",tanh,adam,"(128, 64)",0.0001,0.0005,0.7684382563000269,0.745508622326333,0.6935891887614223,0.772802646221716,6742.222222222223,9685.333333333334,0.0884191658808886,0.777587343441002,0.7778488330039589,0.7733354036128819,0.7744753556211688
"tanh_adam__hls-(128,64)__alpha-0.001__lr-0.0005",tanh,adam,"(128, 64)",0.001,0.0005,0.7684382563000269,0.745508622326333,0.6935891887614223,0.772802646221716,6742.222222222223,9685.333333333334,0.0884191658808886,0.777587343441002,0.7778488330039589,0.7733354036128819,0.7744753556211688
"tanh_adam__hls-(128,64,32)__alpha-0.001__lr-0.001",tanh,adam,"(128, 64, 32)",0.001,0.001,0.7684916887275848,0.7570241470151268,0.7016756355100562,0.7727212448259868,6742.222222222223,9685.333333333334,0.0946002313642666,0.7791694133157547,0.7821740924182995,0.7729374168957991,0.7747255003735116
"tanh_adam__hls-(128,64)__alpha-0.001__lr-0.001",tanh,adam,"(128, 64)",0.001,0.001,0.7697669366851038,0.7522859778463725,0.7012933076215762,0.7739909407829447,6742.222222222223,9685.333333333334,0.08714618963774089,0.776928147659855,0.7764458420388727,0.7727704605820609,0.7739379870828693
"relu_adam__hls-(64,)__alpha-0.0001__lr-0.0005",relu,adam,"(64,)",0.0001,0.0005,0.7682703023110912,0.7627848394212136,0.6962656266548934,0.7723309126906849,6742.222222222223,9685.333333333334,0.07814541740540067,0.7746868820039552,0.7870071601056925,0.7727658861410205,0.7712687535114076
"relu_adam__hls-(64,)__alpha-0.001__lr-0.0005",relu,adam,"(64,)",0.001,0.0005,0.7676257058408598,0.7624442895447445,0.6968351273712347,0.7716765782928889,6742.222222222223,9685.333333333334,0.0778229209124342,0.7742913645352669,0.7860502979130428,0.7724301502831517,0.7710430145822782
"relu_adam__hls-(64,)__alpha-1e-05__lr-0.0005",relu,adam,"(64,)",1e-05,0.0005,0.7680080674773653,0.7630990964074219,0.6962584515567507,0.7720755338354783,6742.222222222223,9685.333333333334,0.0779858422832987,0.7742913645352669,0.7865766081492271,0.7723963533478984,0.7709527994395834
"tanh_adam__hls-(64,32)__alpha-1e-05__lr-0.0005",tanh,adam,"(64, 32)",1e-05,0.0005,0.7674946472714438,0.7494338353389141,0.6950025681053797,0.7718596898184087,6742.222222222223,9685.333333333334,0.08753494728100765,0.7761371127224785,0.7784011346339766,0.7720890853714869,0.7730110956428603
